date,name,category,amount_usd,amount_cny
"2026-08-11","西瓜","食品","10.0","70.0"
"2026-08-11","川菜","食品","12.0","84.0"
"2026-08-11","减肥针","健康","25.0","175.0"
"2026-08-11","奶茶","食品","15.0","105.0"
"2026-08-11","挂号费","健康","30.0","210.0"
"2026-08-11","weee","食品","34.0","238.0"
"2026-08-10","地铁","交通","6.0","42.0"
"2026-08-10","烫头","健康","95.0","665.0"
"2026-08-09","acme","食品","10.0","70.0"
"2026-08-09","wf","食品","11.0","77.0"
"2026-08-09","贝果","食品","6.0","42.0"
"2026-08-09","嫖娼","娱乐","15.0","105.0"
"2026-08-08","嫖娼","娱乐","11.0","77.0"
"2026-08-08","猪蹄","食品","42.0","294.0"
"2026-08-07","心理咨询","健康","8.0","56.0"
"2026-08-07","地铁","交通","6.5","45.5"
"2026-08-06","weee","食品","87.0","609.0"
"2026-08-06","地铁","交通","9.5","66.5"
"2026-08-06","蜜瓜","食品","12.0","84.0"
"2026-08-05","蓝莓","食品","5.0","35.0"
"2026-08-05","呼吸机配件","健康","27.5","192.5"
"2026-08-05","牙膏","健康","14.0","98.0"
"2026-08-05","地铁","交通","6.5","45.5"
"2026-08-04","weee","食品","62.0","434.0"
"2026-08-04","aldi","食品","64.0","448.0"
"2026-08-04","乐乐茶","食品","18.0","126.0"
"2026-08-04","地铁","交通","9.5","66.5"
"2026-08-03","吸毒","健康","15.0","105.0"
"2026-08-03","西瓜","食品","5.0","35.0"
"2026-08-03","地铁","交通","9.5","66.5"
"2026-08-03","星巴克","食品","5.0","35.0"
"2026-08-03","weee","食品","35.0","245.0"
"2026-08-02","韩式排骨","食品","123.0","861.0"
"2026-08-01","amazon","食品","29.0","203.0"
"2026-07-31","lulu返利","卖淫","-9.0","-63.0"
"2026-07-31","星巴克","食品","6.5","45.5"
"2026-07-31","心理咨询","健康","8.0","56.0"
"2026-07-31","地铁","交通","9.5","66.5"
"2026-07-29","地铁","交通","9.5","66.5"
"2026-07-29","6个月定期利息","卖淫","-774.0","-5418.0"
"2026-07-28","宜家","百货","105.0","735.0"
"2026-07-28","猪蹄","食品","83.0","581.0"
"2026-07-28","鞋","其他","41.0","287.0"
"2026-07-28","拉夫劳伦","其他","280.0","1960.0"
"2026-07-28","lululemon","其他","92.0","644.0"
"2026-07-27","韩式牛排锅","食品","66.0","462.0"
"2026-07-27","烧腊","食品","186.0","1302.0"
"2026-07-26","垃圾袋","百货","34.0","238.0"
"2026-07-26","酒店返利","卖淫","-115.0","-805.0"
"2026-07-26","uber返利","卖淫","-15.0","-105.0"
"2026-07-26","大华","食品","29.0","203.0"
"2026-07-24","地铁","交通","9.5","66.5"
"2026-07-24","心理咨询","健康","8.0","56.0"
"2026-07-24","面包","食品","5.0","35.0"
"2026-07-24","网络开户","卖淫","-50.0","-350.0"
"2026-07-23","会员","其他","20.0","140.0"
"2026-07-22","aldi","食品","47.0","329.0"
"2026-07-21","缺德舅","食品","61.0","427.0"
"2026-07-21","烧腊","食品","50.0","350.0"
"2026-07-21","地铁","交通","12.5","87.5"
"2026-07-21","紫燕百味鸡","食品","40.0","280.0"
"2026-07-20","weee","食品","35.0","245.0"
"2026-07-20","地铁","交通","6.5","45.5"
"2026-07-20","麦当劳","食品","7.5","52.5"
"2026-07-19","冰淇淋","食品","9.0","63.0"
"2026-07-19","wf","食品","72.0","504.0"
"2026-07-18","target返利","卖淫","-15.0","-105.0"
"2026-07-18","target","食品","48.0","336.0"
"2026-07-18","电动牙刷","健康","52.0","364.0"
"2026-07-17","鲜芋仙","食品","10.0","70.0"
"2026-07-17","芒果","食品","16.0","112.0"
"2026-07-17","卤肉饭","食品","9.0","63.0"
"2026-07-17","星巴克","食品","9.0","63.0"
"2026-07-17","心理咨询","健康","8.0","56.0"
"2026-07-17","地铁","交通","9.5","66.5"
"2026-07-14","aldi","食品","56.0","392.0"
"2026-07-14","地铁","交通","6.5","45.5"
"2026-07-14","乐乐茶","食品","17.0","119.0"
"2026-07-14","海运零食加运费","食品","200.0","1400.0"
"2026-07-13","weee","食品","37.0","259.0"
"2026-07-13","紫燕百味鸡","食品","39.0","273.0"
"2026-07-13","烤鸭","食品","18.0","126.0"
"2026-07-13","地铁","交通","6.5","45.5"
"2026-07-13","刮牙","健康","200.0","1400.0"
"2026-07-12","鲜芋仙","食品","22.0","154.0"
"2026-07-11","川菜","食品","25.0","175.0"
"2026-07-11","呼吸机租金","健康","8.0","56.0"
"2026-07-10","acme","食品","33.0","231.0"
"2026-07-10","挂号费","健康","30.0","210.0"
"2026-07-10","target返利","卖淫","-15.0","-105.0"
"2026-07-10","target","百货","61.0","427.0"
"2026-07-10","心理咨询","健康","8.0","56.0"
"2026-07-10","地铁","交通","6.5","45.5"
"2026-07-10","柠檬茶","食品","15.0","105.0"
"2026-07-09","amazon","百货","38.0","266.0"
"2026-07-09","减肥针","健康","25.0","175.0"
"2026-07-08","剪头发","健康","15.0","105.0"
"2026-07-08","海底捞","食品","52.0","364.0"
"2026-07-08","coco","食品","7.5","52.5"
"2026-07-08","华夫饼","食品","2.0","14.0"
"2026-07-08","地铁","交通","12.0","84.0"
"2026-07-08","喜茶","食品","15.0","105.0"
"2026-07-07","紫燕百味鸡","食品","45.0","315.0"
"2026-07-07","烤鸭","食品","18.0","126.0"
"2026-07-07","心理咨询","健康","8.0","56.0"
"2026-07-06","yami","食品","37.0","259.0"
"2026-07-05","火锅","食品","129.0","903.0"
"2026-07-05","吸毒","健康","7.0","49.0"
"2026-07-05","巴黎贝甜","食品","10.5","73.5"
"2026-07-05","奶茶","食品","6.0","42.0"
"2026-07-05","地铁","交通","12.5","87.5"
"2026-07-04","鲜芋仙","食品","12.0","84.0"
"2026-07-04","川菜","食品","18.0","126.0"
"2026-07-04","音响","百货","43.0","301.0"
"2026-07-04","ck","其他","70.0","490.0"
"2026-07-03","会员费","娱乐","17.0","119.0"
"2026-07-02","紫燕百味鸡","食品","38.0","266.0"
"2026-07-02","喜茶","食品","16.0","112.0"
"2026-07-02","地铁","交通","12.5","87.5"
"2026-06-30","心理咨询","健康","8.0","56.0"
"2026-06-30","wf","食品","20.0","140.0"
"2026-06-30","果茶","食品","15.0","105.0"
"2026-06-30","星巴克","食品","7.0","49.0"
"2026-06-29","aldi","食品","48.0","336.0"
"2026-06-29","amazon","百货","54.0","378.0"
"2026-06-29","中介费","其他","40.0","280.0"
"2026-06-28","芒果","食品","14.0","98.0"
"2026-06-28","地铁","交通","6.5","45.5"
"2026-06-27","aldi","食品","38.0","266.0"
"2026-06-26","地铁","交通","6.5","45.5"
"2026-06-26","果茶","食品","17.0","119.0"
"2026-06-26","洗牙","健康","200.0","1400.0"
"2026-06-25","地铁","交通","12.5","87.5"
"2026-06-25","叉烧","食品","15.0","105.0"
"2026-06-25","肠粉","食品","9.0","63.0"
"2026-06-25","芒果","食品","14.0","98.0"
"2026-06-25","紫燕百味鸡","食品","41.0","287.0"
"2026-06-24","牙膏","健康","14.0","98.0"
"2026-06-24","aldi","食品","50.0","350.0"
"2026-06-24","地铁","交通","6.0","42.0"
"2026-06-23","中超","食品","18.0","126.0"
"2026-06-23","地铁","交通","12.0","84.0"
"2026-06-23","海底捞","食品","53.0","371.0"
"2026-06-23","心理咨询","健康","8.0","56.0"
"2026-06-23","喜茶","食品","14.0","98.0"
"2026-06-23","芒果","食品","14.0","98.0"
"2026-06-22","炒年糕","食品","12.0","84.0"
"2026-06-22","地铁","交通","6.0","42.0"
"2026-06-22","果茶","食品","16.0","112.0"
"2026-06-22","星巴克","食品","5.0","35.0"
"2026-06-22","大巴","交通","35.0","245.0"
"2026-06-21","拉面","食品","14.0","98.0"
"2026-06-21","奶茶","食品","15.0","105.0"
"2026-06-21","星巴克","食品","12.0","84.0"
"2026-06-21","地铁","交通","5.0","35.0"
"2026-06-21","肉夹馍","食品","29.0","203.0"
"2026-06-21","酒店","娱乐","122.0","854.0"
"2026-06-20","樱桃","食品","48.0","336.0"
"2026-06-20","烤肉","食品","24.0","168.0"
"2026-06-20","越南粉","食品","18.0","126.0"
"2026-06-20","水果","食品","27.0","189.0"
"2026-06-20","单车","交通","5.0","35.0"
"2026-06-20","酒店","娱乐","122.0","854.0"
"2026-06-19","心理咨询","健康","8.0","56.0"
"2026-06-19","单车","交通","5.0","35.0"
"2026-06-19","炸鱿鱼","食品","22.5","157.5"
"2026-06-19","奶茶","食品","14.0","98.0"
"2026-06-19","冰淇淋","食品","10.0","70.0"
"2026-06-19","星巴克","食品","6.0","42.0"
"2026-06-19","墨西哥菜","食品","30.5","213.5"
"2026-06-19","酒店","娱乐","122.0","854.0"
"2026-06-18","秘鲁菜","食品","62.0","434.0"
"2026-06-18","奶茶","食品","19.0","133.0"
"2026-06-18","拼车","交通","15.0","105.0"
"2026-06-18","打车","交通","10.0","70.0"
"2026-06-18","橙汁","食品","3.5","24.5"
"2026-06-18","炒粉","食品","13.0","91.0"
"2026-06-18","星巴克","食品","7.5","52.5"
"2026-06-18","冰箱贴","百货","7.0","49.0"
"2026-06-18","明信片","百货","4.0","28.0"
"2026-06-18","星巴克","食品","7.0","49.0"
"2026-06-18","酒店","娱乐","122.0","854.0"
"2026-06-17","Uber会员","食品","10.0","70.0"
"2026-06-17","烤肉","食品","21.0","147.0"
"2026-06-17","奶茶","食品","15.0","105.0"
"2026-06-17","鸡翅","食品","13.0","91.0"
"2026-06-17","酒店","娱乐","122.0","854.0"
"2026-06-17","大巴","交通","17.0","119.0"
"2026-06-16","大华","食品","29.0","203.0"
"2026-06-16","心理咨询","健康","8.0","56.0"
"2026-06-16","回锅肉","食品","13.0","91.0"
"2026-06-16","茉莉奶白","食品","7.0","49.0"
"2026-06-16","星巴克","食品","7.0","49.0"
"2026-06-16","地铁","交通","9.5","66.5"
"2026-06-15","早茶","食品","42.0","294.0"
"2026-06-15","茉莉奶白","食品","7.0","49.0"
"2026-06-15","大华","食品","54.0","378.0"
"2026-06-14","酒店","娱乐","122.0","854.0"
"2026-06-13","星巴克","食品","11.0","77.0"
"2026-06-13","紫燕百味鸡","食品","43.0","301.0"
"2026-06-13","鲜芋仙","食品","46.0","322.0"
"2026-06-13","减肥针","健康","25.0","175.0"
"2026-06-13","川菜","食品","16.0","112.0"
"2026-06-13","贝果","食品","8.0","56.0"
"2026-06-13","wf","食品","36.0","252.0"
"2026-06-12","茶瀑布","食品","18.0","126.0"
"2026-06-12","海运运费","百货","19.0","133.0"
"2026-06-12","海鲜","食品","153.0","1071.0"
"2026-06-12","打车","交通","20.0","140.0"
"2026-06-12","船票","交通","12.0","84.0"
"2026-06-12","大巴","交通","40.0","280.0"
"2026-06-11","打车","交通","14.0","98.0"
"2026-06-11","海鲜","食品","79.5","556.5"
"2026-06-11","樱桃","食品","13.0","91.0"
"2026-06-11","晕车药","食品","8.0","56.0"
"2026-06-11","冰箱贴","百货","6.0","42.0"
"2026-06-11","星巴克","食品","6.0","42.0"
"2026-06-11","公交","交通","2.0","14.0"
"2026-06-11","酒店","娱乐","140.0","980.0"
"2026-06-10","拉面","食品","23.0","161.0"
"2026-06-10","水果塔","食品","11.0","77.0"
"2026-06-10","chang","食品","14.0","98.0"
"2026-06-10","明信片","食品","5.0","35.0"
"2026-06-10","布朗挎包","百货","58.0","406.0"
"2026-06-10","酒店","娱乐","150.0","1050.0"
"2026-06-09","心理咨询","健康","8.0","56.0"
"2026-06-09","大巴","交通","38.0","266.0"
"2026-06-09","果茶","食品","20.5","143.5"
"2026-06-09","地铁","交通","6.0","42.0"
"2026-06-09","酒店","娱乐","150.0","1050.0"
"2026-06-08","老婆饼","食品","6.0","42.0"
"2026-06-08","牙线漱口水","健康","20.0","140.0"
"2026-06-08","地铁","交通","13.5","94.5"
"2026-06-08","海底捞","食品","41.0","287.0"
"2026-06-08","足疗","娱乐","40.0","280.0"
"2026-06-08","茉莉奶白","食品","12.0","84.0"
"2026-06-08","3月定期利息","卖淫","-182.0","-1274.0"
"2026-06-07","贝果","食品","3.5","24.5"
"2026-06-07","奶","食品","6.0","42.0"
"2026-06-07","希腊菜","食品","18.0","126.0"
"2026-06-06","呼吸机租金","健康","7.0","49.0"
"2026-06-05","奶茶","食品","11.5","80.5"
"2026-06-05","水","食品","21.0","147.0"
"2026-06-05","化验费","健康","12.0","84.0"
"2026-06-05","地铁","交通","6.5","45.5"
"2026-06-05","心理咨询","健康","8.0","56.0"
"2026-06-05","身份证","百货","21.5","150.5"
"2026-06-04","紫燕百味鸡","食品","23.0","161.0"
"2026-06-04","地铁","交通","6.5","45.5"
"2026-06-04","鲜芋仙","食品","11.5","80.5"
"2026-06-04","芒果mango","食品","21.5","150.5"
"2026-06-03","农场集市","食品","29.0","203.0"
"2026-06-03","鲜芋仙","食品","11.5","80.5"
"2026-06-03","鲜芋仙","食品","20.0","140.0"
"2026-06-03","紫燕百味鸡","食品","34.0","238.0"
"2026-06-03","摘草莓","娱乐","30.0","210.0"
"2026-06-03","鲜芋仙","食品","12.0","84.0"
"2026-06-03","水","食品","4.5","31.5"
"2026-06-03","打车","交通","42.0","294.0"
"2026-06-02","缺德舅","食品","72.0","504.0"
"2026-06-02","地铁","交通","6.5","45.5"
"2026-06-02","心理咨询","健康","8.0","56.0"
"2026-06-02","果茶","食品","32.0","224.0"
"2026-06-01","会员","健康","60.0","420.0"
"2026-06-01","茶颜悦色","食品","58.0","406.0"
"2026-06-01","target","卖淫","-10.0","-70.0"
"2026-06-01","希腊菜","食品","18.0","126.0"
"2026-06-01","wf","食品","12.0","84.0"
"2026-06-01","贝果","食品","11.0","77.0"
"2026-05-31","weee","食品","20.0","140.0"
"2026-05-31","鲜芋仙","食品","11.5","80.5"
"2026-05-31","小花园","食品","20.0","140.0"
"2026-05-30","地铁","交通","6.5","45.5"
"2026-05-30","剧本杀","娱乐","123.0","861.0"
"2026-05-30","果茶","食品","30.5","213.5"
"2026-05-30","拉面","食品","21.5","150.5"
"2026-05-30","星巴克","食品","7.0","49.0"
"2026-05-30","爆爆珠","食品","24.0","168.0"
"2026-05-29","抖加","娱乐","4.0","28.0"
"2026-05-29","哑铃","健康","40.0","280.0"
"2026-05-29","剩菜","食品","5.5","38.5"
"2026-05-29","地铁","交通","12.5","87.5"
"2026-05-29","果茶","食品","22.0","154.0"
"2026-05-28","大华","食品","47.0","329.0"
"2026-05-27","挂号费","健康","15.6","109.2"
"2026-05-26","海底捞","食品","37.0","259.0"
